identity,n,budget,cutoff_tie_rows,selected_from_cutoff_tie,cutoff_tie_positive,tie_p5_min,tie_p5_max,roc_auc_archived,roc_auc_unified,roc_auc_delta,ap_archived,ap_unified,ap_delta,f1_val_threshold_archived,f1_val_threshold_unified,f1_val_threshold_delta,p_at_5pct_archived,p_at_5pct_unified,p_at_5pct_delta,r_at_10fpr_archived,r_at_10fpr_unified,r_at_10fpr_delta,p5_difference_preserved_not_silently_overwritten
REVERSE_GAT_G6_seed1024,8435,422,1,1,0,0.002369668246445498,0.002369668246445498,0.6011705288175877,0.6011705288175877,0.0,0.003644034195604834,0.0036440341956048344,4.336808689942018e-19,0.0,0.0,0.0,0.002369668246445498,0.002369668246445498,0.0,0.2,0.2,0.0,False
REVERSE_SAGE_M11_seed42,8435,422,1,1,0,0.0071090047393364926,0.0071090047393364926,0.810326797385621,0.810326797385621,0.0,0.008532559416982463,0.008532559416982463,0.0,0.009216589861751152,0.009216589861751152,0.0,0.0071090047393364926,0.0071090047393364926,0.0,0.4,0.4,0.0,False
REVERSE_SAGE_M11_seed123,8435,422,1,1,0,0.009478672985781991,0.009478672985781991,0.8530005941770648,0.8530005941770648,0.0,0.011701294198120521,0.011701294198120523,1.734723475976807e-18,0.0,0.0,0.0,0.009478672985781991,0.009478672985781991,0.0,0.6,0.6,0.0,False
REVERSE_SAGE_M11_seed456,8435,422,1,1,0,0.0071090047393364926,0.0071090047393364926,0.7982471776589423,0.7982471776589424,1.1102230246251565e-16,0.008640581331394536,0.008640581331394538,1.734723475976807e-18,0.01092896174863388,0.01092896174863388,0.0,0.0071090047393364926,0.0071090047393364926,0.0,0.45,0.45,0.0,False
REVERSE_SAGE_M11_seed789,8435,422,1,1,0,0.011848341232227487,0.011848341232227487,0.80815210932858,0.80815210932858,0.0,0.008312503635037263,0.008312503635037265,1.734723475976807e-18,0.0,0.0,0.0,0.011848341232227487,0.011848341232227487,0.0,0.35,0.35,0.0,False
REVERSE_SAGE_M11_seed1024,8435,422,1,1,0,0.011848341232227487,0.011848341232227487,0.8169815805109922,0.8169815805109923,1.1102230246251565e-16,0.00854328320521145,0.008543283205211452,1.734723475976807e-18,0.009389671361502348,0.009389671361502348,0.0,0.011848341232227487,0.011848341232227487,0.0,0.4,0.4,0.0,False
REVERSE_SAGE_G6_seed42,8435,422,1,1,0,0.0,0.0,0.5020796197266786,0.5020796197266785,-1.1102230246251565e-16,0.0024439132098894676,0.0024439132098894676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,False
REVERSE_SAGE_G6_seed123,8435,422,1,1,0,0.004739336492890996,0.004739336492890996,0.629245395127748,0.629245395127748,0.0,0.00401076150002528,0.00401076150002528,0.0,0.0,0.0,0.0,0.004739336492890996,0.004739336492890996,0.0,0.15,0.15,0.0,False
REVERSE_SAGE_G6_seed456,8435,422,1,1,0,0.002369668246445498,0.002369668246445498,0.384708853238265,0.38470885323826504,5.551115123125783e-17,0.0034408211854525844,0.003440821185452585,4.336808689942018e-19,0.0,0.0,0.0,0.002369668246445498,0.002369668246445498,0.0,0.05,0.05,0.0,False
REVERSE_SAGE_G6_seed789,8435,422,2,2,0,0.0,0.0,0.4898930481283423,0.4898930481283422,-5.551115123125783e-17,0.0022645536194936507,0.0022645536194936507,0.0,0.0021941854086670325,0.0021941854086670325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
REVERSE_SAGE_G6_seed1024,8435,422,1,1,0,0.002369668246445498,0.002369668246445498,0.5126143790849673,0.5126143790849673,0.0,0.0043931912138404985,0.0043931912138404985,0.0,0.004524886877828055,0.004524886877828055,0.0,0.002369668246445498,0.002369668246445498,0.0,0.1,0.1,0.0,False
REVERSE_RGCN_M11_seed42,8435,422,1,1,0,0.009478672985781991,0.009478672985781991,0.6755258467023172,0.6755258467023173,1.1102230246251565e-16,0.00688469307667064,0.006884693076670639,-8.673617379884035e-19,0.01593625498007968,0.01593625498007968,0.0,0.009478672985781991,0.009478672985781991,0.0,0.35,0.35,0.0,False
REVERSE_RGCN_M11_seed123,8435,422,1,1,0,0.011848341232227487,0.011848341232227487,0.7160903149138442,0.7160903149138443,1.1102230246251565e-16,0.007753518456726082,0.007753518456726083,8.673617379884035e-19,0.02168021680216802,0.02168021680216802,0.0,0.011848341232227487,0.011848341232227487,0.0,0.35,0.35,0.0,False
REVERSE_RGCN_M11_seed456,8435,422,1,1,0,0.009478672985781991,0.009478672985781991,0.7427688651218063,0.7427688651218063,0.0,0.008564116081710434,0.008564116081710434,0.0,0.010582010582010581,0.010582010582010581,0.0,0.009478672985781991,0.009478672985781991,0.0,0.5,0.5,0.0,False
